Measured Depth m,Average Rotary Speed rpm,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,Corrected Hookload kkgf,Mud Density Out g/cm3,Average Hookload kkgf,Total Hookload kkgf,ROPIH s/m,Lag Depth (TVD) m,Total Vertical Depth m,Mud Density In g/cm3,Mud Density In g/cm3.1,Averaged WOB kkgf,Hole Depth (TVD) m
273.101,,,,,,,,,,,,,,
273.253,,,,,,,,,,,,,,
273.406,,,,,,,,,,,,,,
273.558,,,,,,,,,,,,,,
273.71,,,,,,,,,,,,,,
273.863,,,,,,,,,,,,,,
274.015,,,,,,,,,,,,,,
274.168,,,,,,,,,,,,,,
274.32,,,,,,,,,,,,,,
274.472,,,,,,,,,,,,,,
274.625,,,,,,,,,,,,,,
274.777,,,,,,,,,,,,,,
274.93,,,,,,,,,,,,,,
275.082,,,,,,,,,,,,,,
275.23400000000004,,,,,,,,,,,,,,
275.387,,,,,,,,,,,,,,
275.539,,,,,,,,,,,,,,
275.692,,,,,,,,,,,,,,
275.844,,,,,,,,,,,,,,
275.996,,,,,,,,,,,,,,
276.149,,,,,,,,,,,,,,
276.301,,,,,,,,,,,,,,
276.454,,,,,,,,,,,,,,
276.606,,,,,,,,,,,,,,
276.758,,,,,,,,,,,,,,
276.911,,,,,,,,,,,,,,
277.063,,,,,,,,,,,,,,
277.216,,,,,,,,,,,,,,
277.368,,,,,,,,,,,,,,
277.52,,,,,,,,,,,,,,
277.673,,,,,,,,,,,,,,
277.825,,,,,,,,,,,,,,
277.978,,,,,,,,,,,,,,
278.13,,,,,,,,,,,,,,
278.282,,,,,,,,,,,,,,
278.435,,,,,,,,,,,,,,
278.587,,,,,,,,,,,,,,
278.74,,,,,,,,,,,,,,
278.892,,,,,,,,,,,,,,
279.04400000000004,,,,,,,,,,,,,,
279.197,,,,,,,,,,,,,,
279.349,,,,,,,,,,,,,,
279.502,,,,,,,,,,,,,,
279.654,,,,,,,,,,,,,,
279.806,,,,,,,,,,,,,,
279.959,,,,,,,,,,,,,,
280.111,,,,,,,,,,,,,,
280.264,,,,,,,,,,,,,,
280.416,,,,,,,,,,,,,,
280.568,,,,,,,,,,,,,,
280.721,,,,,,,,,,,,,,
280.873,,,,,,,,,,,,,,
281.026,,,,,,,,,,,,,,
281.178,,,,,,,,,,,,,,
281.33,,,,,,,,,,,,,,
281.483,,,,,,,,,,,,,,
281.635,,,,,,,,,,,,,,
281.788,,,,,,,,,,,,,,
281.94,,,,,,,,,,,,,,
282.092,,,,,,,,,,,,,,
282.245,,,,,,,,,,,,,,
282.397,,,,,,,,,,,,,,
282.55,,,,,,,,,,,,,,
282.702,,,,,,,,,,,,,,
282.85400000000004,,,,,,,,,,,,,,
283.007,,,,,,,,,,,,,,
283.159,,,,,,,,,,,,,,
283.312,,,,,,,,,,,,,,
283.464,,,,,,,,,,,,,,
283.616,,,,,,,,,,,,,,
283.769,,,,,,,,,,,,,,
283.921,,,,,,,,,,,,,,
284.074,,,,,,,,,,,,,,
284.226,,,,,,,,,,,,,,
284.378,,,,,,,,,,,,,,
284.531,,,,,,,,,,,,,,
284.683,,,,,,,,,,,,,,
284.836,,,,,,,,,,,,,,
284.988,,,,,,,,,,,,,,
285.14,,,,,,,,,,,,,,
285.293,,,,,,,,,,,,,,
285.445,,,,,,,,,,,,,,
285.598,,,,,,,,,,,,,,
285.75,,,,,,,,,,,,,,
285.902,,,,,,,,,,,,,,
286.055,,,,,,,,,,,,,,
286.207,,,,,,,,,,,,,,
286.36,,,,,,,,,,,,,,
286.512,,,,,,,,,,,,,,
286.664,,,,,,,,,,,,,,
286.817,,,,,,,,,,,,,,
286.969,,,,,,,,,,,,,,
287.122,,,,,,,,,,,,,,
287.274,,,,,,,,,,,,,,
287.426,,,,,,,,,,,,,,
287.579,,,,,,,,,,,,,,
287.731,,,,,,,,,,,,,,
287.884,,,,,,,,,,,,,,
288.036,,,,,,,,,,,,,,
288.188,,,,,,,,,,,,,,
288.341,,,,,,,,,,,,,,
288.493,,,,,,,,,,,,,,
288.646,,,,,,,,,,,,,,
288.798,,,,,,,,,,,,,,
288.95,,,,,,,,,,,,,,
289.103,,,,,,,,,,,,,,
289.255,,,,,,,,,,,,,,
289.408,,,,,,,,,,,,,,
289.56,,,,,,,,,,,,,,
289.712,,,,,,,,,,,,,,
289.865,,,,,,,,,,,,,,
290.017,,,,,,,,,,,,,,
290.17,,,,,,,,,,,,,,
290.322,,,,,,,,,,,,,,
290.474,,,,,,,,,,,,,,
290.627,,,,,,,,,,,,,,
290.779,,,,,,,,,,,,,,
290.932,,,,,,,,,,,,,,
291.084,,,,,,,,,,,,,,
291.236,,,,,,,,,,,,,,
291.389,,,,,,,,,,,,,,
291.541,,,,,,,,,,,,,,
291.694,,,,,,,,,,,,,,
291.846,,,,,,,,,,,,,,
291.998,,,,,,,,,,,,,,
292.151,,,,,,,,,,,,,,
292.303,,,,,,,,,,,,,,
292.456,,,,,,,,,,,,,,
292.608,,,,,,,,,,,,,,
292.76,,,,,,,,,,,,,,
292.913,,,,,,,,,,,,,,
293.065,,,,,,,,,,,,,,
293.218,,,,,,,,,,,,,,
293.37,,,,,,,,,,,,,,
293.522,,,,,,,,,,,,,,
293.675,,,,,,,,,,,,,,
293.827,,,,,,,,,,,,,,
293.98,,,,,,,,,,,,,,
294.132,,,,,,,,,,,,,,
294.284,,,,,,,,,,,,,,
294.437,,,,,,,,,,,,,,
294.589,,,,,,,,,,,,,,
294.742,,,,,,,,,,,,,,
294.894,,,,,,,,,,,,,,
295.046,,,,,,,,,,,,,,
295.199,,,,,,,,,,,,,,
295.351,,,,,,,,,,,,,,
295.504,,,,,,,,,,,,,,
295.656,,,,,,,,,,,,,,
295.808,,,,,,,,,,,,,,
295.961,,,,,,,,,,,,,,
296.113,,,,,,,,,,,,,,
296.266,,,,,,,,,,,,,,
296.418,,,,,,,,,,,,,,
296.57,,,,,,,,,,,,,,
296.723,,,,,,,,,,,,,,
296.875,,,,,,,,,,,,,,
297.028,,,,,,,,,,,,,,
297.18,,,,,,,,,,,,,,
297.332,,,,,,,,,,,,,,
297.485,,,,,,,,,,,,,,
297.637,,,,,,,,,,,,,,
297.79,,,,,,,,,,,,,,
297.942,,,,,,,,,,,,,,
298.094,,,,,,,,,,,,,,
298.247,,,,,,,,,,,,,,
298.399,,,,,,,,,,,,,,
298.552,,,,,,,,,,,,,,
298.704,,,,,,,,,,,,,,
298.856,,,,,,,,,,,,,,
299.009,,,,,,,,,,,,,,
299.161,,,,,,,,,,,,,,
299.314,,,,,,,,,,,,,,
299.466,,,,,,,,,,,,,,
299.618,,,,,,,,,,,,,,
299.771,,,,,,,,,,,,,,
299.923,,,,,,,,,,,,,,
300.076,0.0,79.1790841072,,91.3217518521,,91.3217518521,37.149215103,,,,,1.19826420479462,,300.0756
300.228,0.0,79.2380511153,,91.0450605064,,91.0450605064,37.149215103,,,,,1.19826420479462,,300.228
300.38,0.0,79.2380511153,,91.0450605064,,91.0450605064,37.149215103,,,,,1.19826420479462,,300.3804
300.533,0.0,79.2743385049,,91.2083537596,,91.2083537596,37.149215103,,,,,1.19826420479462,,300.5328
300.685,0.0,79.31062589449999,,91.2763926151,,91.2763926151,37.149215103,,,,,1.19826420479462,,300.6852
300.838,0.0,79.3469132841,,91.1766022937,,91.1766022937,37.149215103,,,,,1.19826420479462,,300.8376
300.99,0.0,79.3469132841,,91.1766022937,,91.1766022937,37.149215103,,,,,1.19826420479462,,300.99
301.142,0.0,79.3832006737,,91.2128896833,,91.2128896833,37.149215103,,,,,1.19826420479462,,301.1424
301.295,0.0,79.4194880633,,91.4306140209,,91.4306140209,37.149215103,,,,,1.19826420479462,,301.2948
301.447,0.0,79.4557754529,,91.6982335192,,91.6982335192,37.149215103,,,,,1.19826420479462,,301.4472
301.6,0.0,79.4920628425,,91.3943266313,,91.3943266313,37.149215103,,,,,1.19826420479462,,301.5996
301.752,0.0,79.4920628425,,91.3943266313,,91.3943266313,37.149215103,,,,,1.19826420479462,,301.752
301.904,0.0,79.5283502321,,91.1357789804,,91.1357789804,37.149215103,,,,,1.19826420479462,,301.9044
302.057,0.0,79.5646376217,,91.2673207677,,91.2673207677,37.149215103,,,,,1.19826420479462,,302.0568
302.209,0.0,79.6009250113,,91.4170062498,,91.4170062498,37.149215103,,,,,1.19826420479462,,302.2092
302.362,0.0,79.6009250113,,91.4170062498,,91.4170062498,37.149215103,,,,,1.19826420479462,,302.3616
302.514,0.0,79.6372124009,,91.3580392417,,91.3580392417,37.149215103,,,,,1.19826420479462,,302.514
302.666,0.0,79.6734997905,,91.1675304463,,91.1675304463,37.149215103,,,,,1.19826420479462,,302.6664
302.819,0.0,79.70978718010001,,91.3489673943,,91.3489673943,37.149215103,,,,,1.19826420479462,,302.8188
302.971,0.0,79.7460745697,,91.2355693018,,91.2355693018,37.149215103,,,,,1.19826420479462,,302.9712
303.124,0.0,79.7460745697,,91.2355693018,,91.2355693018,37.149215103,,,,,1.19826420479462,,303.1236
303.276,0.0,79.7778260356,,91.1130993619,,91.1130993619,37.149215103,,,,,1.19826420479462,,303.276
303.428,0.0,79.8141134252,,91.1675304463,,91.1675304463,37.149215103,,,,,1.19826420479462,,303.4284
303.581,0.0,79.8504008148,,91.1947459885,,91.1947459885,37.149215103,,,,,1.19826420479462,,303.5808
303.733,0.0,79.8821522807,,91.3625751654,,91.3625751654,37.149215103,,,,,1.19826420479462,,303.7332
303.886,0.0,79.9184396703,,91.1448508278,,91.1448508278,37.149215103,,,,,1.19826420479462,,303.8856
304.038,0.0,79.9184396703,,91.1448508278,,91.1448508278,37.149215103,,,,,1.19826420479462,,304.038
304.19,0.0,79.9547270599,,91.3716470128,,91.3716470128,37.149215103,,,,,1.19826420479462,,304.1904
304.343,0.0,79.9864785258,,91.4260780972,,91.4260780972,37.149215103,,,,,1.19826420479462,,304.3428
304.495,0.0,80.0227659154,,91.126707133,,91.126707133,37.149215103,,,,,1.19826420479462,,304.4952
304.648,0.0,80.059053305,,90.7320817711,,90.7320817711,37.149215103,,,,,1.19826420479462,,304.6476
304.8,0.0,80.059053305,,90.7320817711,,90.7320817711,37.149215103,,,,,1.19826420479462,,304.8
304.952,0.0,80.09080477090001,,90.7683691607,,90.7683691607,37.149215103,,,,,1.19826420479462,,304.9524
305.105,0.0,80.1270921605,,91.1221712093,,91.1221712093,37.149215103,,,,,1.19826420479462,,305.1048
305.257,0.0,80.1633795501,,91.5485480371,,91.5485480371,37.149215103,,,,,1.19826420479462,,305.2572
305.41,0.0,80.19966693970001,,91.7345209088,,91.7345209088,37.149215103,,,,,1.19826420479462,,305.4096
305.562,0.0,80.23141840560001,,91.4669014105,,91.4669014105,37.149215103,,,,,1.19826420479462,,305.562
305.714,0.0,80.23141840560001,,91.4669014105,,91.4669014105,37.149215103,,,,,1.19826420479462,,305.7144
305.867,0.0,80.2677057952,,91.6891616718,,91.6891616718,37.149215103,,,,,1.19826420479462,,305.8668
306.019,0.0,80.30399318479999,,91.5304043423,,91.5304043423,37.149215103,,,,,1.19826420479462,,306.0192
306.172,0.0,80.3357446507,,91.1992819122,,91.1992819122,37.149215103,,,,,1.19826420479462,,306.1716
306.324,0.0,80.3720320403,,91.5031888001,,91.5031888001,37.149215103,,,,,1.19826420479462,,306.324
306.476,0.0,80.3720320403,,91.5031888001,,91.5031888001,37.149215103,,,,,1.19826420479462,,306.4764
306.629,0.0,80.4083194299,,91.4306140209,,91.4306140209,37.149215103,,,,,1.19826420479462,,306.6288
306.781,0.0,80.4400708958,,90.8908391006,,90.8908391006,37.149215103,,,,,1.19826420479462,,306.7812
306.934,0.0,80.4763582854,,91.2537129966,,91.2537129966,37.149215103,,,,,1.19826420479462,,306.9336
307.086,0.0,80.512645675,,91.5485480371,,91.5485480371,37.149215103,,,,,1.19826420479462,,307.086
307.238,0.0,80.512645675,,91.5485480371,,91.5485480371,37.149215103,,,,,1.19826420479462,,307.2384
307.391,0.0,80.5443971409,,91.7345209088,,91.7345209088,37.149215103,,,,,1.19826420479462,,307.3908
307.543,0.0,80.58068453050001,,92.0701792626,,92.0701792626,37.149215103,,,,,1.19826420479462,,307.5432
307.696,0.0,80.6169719201,,92.6462415725,,92.6462415725,37.149215103,,,,,1.19826420479462,,307.6956
307.848,0.0,80.6532593097,,93.0045795448,,93.0045795448,37.149215103,,,,,1.19826420479462,,307.848
308.0,0.0,80.6850107756,,92.7097445043,,92.7097445043,37.149215103,,,,,1.19826420479462,,308.0004
308.153,0.0,80.6850107756,,92.7097445043,,92.7097445043,37.149215103,,,,,1.19826420479462,,308.1528
308.305,0.0,80.72129816520001,,92.5419153274,,92.5419153274,37.149215103,,,,,1.19826420479462,,308.3052
