,Unnamed: 0,Measured Depth m,TOFB s,AVG_CONF unitless,MIN_CONF unitless,Average Rotary Speed rpm,STUCK_RT unitless,Corrected Surface Weight on Bit kkgf,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,MWD Raw Gamma Ray 1/s,MWD Continuous Inclination dega,Pump 2 Stroke Rate 1/min,Rate of Penetration m/h,Bit Drill Time h,Corrected Hookload kkgf,MWD Gravity Toolface dega,Mud Density Out g/cm3,MWD GR Bit Confidence Flag %,Pump Time h,PowerUP Shock Rate 1/s,Total SPM 1/min,HKLO kkgf,Average Hookload kkgf,Total Hookload kkgf,DRET unitless,Extrapolated Hole TVD m,MWD Gamma Ray (API BH corrected) gAPI,Pump 1 Strokes unitless,ROPIH s/m,EDRT unitless,Pump 1 Stroke Rate 1/min,Rate of penetration m/h,Iso-butane (IC4) ppm,Bit Drilling Run m,MWD Total Shocks unitless,Total Bit Revolutions unitless,Nor-butane (NC4) ppm,Lag Depth (TVD) m,Pump 2 Strokes unitless,Corr. Drilling Exponent unitless,Total Vertical Depth m,Ethane (C2) ppm,TMP In degC,Mud Density In g/cm3,n-Penthane ppm,Mud Density In g/cm3.1,Weight on Bit kkgf,Bit Revolutions  (cum) unitless,Averaged WOB kkgf,Hole Depth (TVD) m,MWD Shock Risk unitless,Bit run number unitless,RHX_RT unitless,Pump 3 Strokes unitless,Total Strokes unitless,Inverse ROP s/m,Pass Name unitless,Pump 4 Stroke Rate 1/min,Iso-pentane (IC5) ppm,Rig Mode unitless,MWD Shock Peak m/s2,Flow Pumps L/min,SPN Sp_RigMode 2hz unitless,Average Standpipe Pressure kPa,Bit Depth m,Rate of Penetration (5ft avg) m/h,Gas (avg) %,Propane (C3) ppm,"String weight (rot,avg) kkgf",TOBO s,AJAM_MWD unitless,Tank volume (active) m3,1/2ft ROP m/h,Weight On Hook kkgf,Hole depth (MD) m,Mud Flow In L/min,BHFG unitless,Temperature Out degC,Averaged TRQ kN.m,MWD Continuous Azimuth dega,RGX_RT unitless,MWD DNI Temperature degC,Bit Drilling Time h,HKLI kkgf,Average Surface Torque kN.m,Methane (C1) ppm,MWD Magnetic Toolface dega,Total Downhole RPM rpm,SHK3TM_RT min,Elapsed time in-slips s,Stand Pipe Pressure kPa,Pump 3 Stroke Rate 1/min,Averaged RPM rpm,Pump 4 Strokes unitless,Inverse ROP (5ft avg) s/m,S1AC kPa,S2AC kPa,IMWT g/cm3,OSTM s,nameWellbore,name,IMP/ARC Attenuation Conductivity 40-in. at 2 MHz mS/m,ARC Annular Pressure kPa,MWD Collar RPM rpm,IMP/ARC Non-BHcorr Phase-Shift Resistivity 28-in. at 2 MHz ohm.m,IMP/ARC Phase-Shift Conductivity 40-in. at 2 MHz mS/m,Annular Temperature degC,IMP/ARC Non-BHcorr Phase-Shift Resistivity 40-in. at 2 MHz ohm.m,ARC Gamma Ray (BH corrected) gAPI,IMP/ARC Non-BHcorr Attenuation Resistivity 40-in. at 2 MHz ohm.m,MWD Stick-Slip PKtoPK RPM rpm,IMP/ARC Non-BHcorr Attenuation Resistivity 28-in. at 2 MHz ohm.m,IMP/ARC Phase-Shift Conductivity 28-in. at 2 MHz mS/m
0,0,273.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
1,1,273.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
2,2,273.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
3,3,273.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
4,4,273.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
5,5,273.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
6,6,274.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
7,7,274.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
8,8,274.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
9,9,274.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drilling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/9-F-9 A - Main Wellbore,12.25 in Section - MD Log,,,,,,,,,,,,
